profile	date	url	caption
hamidjasmin	2020-05-09 17:53:03	https://www.instagram.com/p/B_-eco3jjUZ	Kaupallinen yhteistyö @rawmixblenders 🍓 Tänään on herkuteltu terveellisesti ja tyhjennetty pakastinta viime kesän marjoista. Kohmeiset marjat, jugu ja bansku ovat täydellinen trio! 🍌 Olispa mulla ollut tämä apparaatti jo raskauden alussa. Pahoinvoinnin kourissa jäiset juomat ovat parasta mitä on! Ja Raw Mixin kolmen hevosvoiman moottori jaksaa jauhaa niin jäät kuin pähkinät hetkessä! 🐎 #rawmix #rawmixblenders
hamidjasmin	2020-02-20 14:12:11	https://www.instagram.com/p/B8ypwC1hDNe	Meillä käy siivooja joka toinen viikko ja Freskan innoittamana höpöttelee vähän kotitalousvähennyksessä. Tiesithän, että sen avulla voit säästää jopa  2 250 € vuodessa.  Freskalta löytyy kotitalousvähennys-sivu, jossa voi laskea vähennyksen määrän ja sen, paljonko säästyy aikaa luudan varresta vuosittain. #freska @freska.fi @eloisatmedia
attehoo	2020-05-14 14:52:20	https://www.instagram.com/p/CALBvbzFIie	ninjalinja. (tällä kertaa naamari on @herrainpukimo'n käsialaa)
attehoo	2020-01-10 19:52:05	https://www.instagram.com/p/B7JsriABKVy	Vahva suositus tällaselle vähän pidemmälle neljän päivän etätyö-/kulttuuri-/ruoka-/kylpy-/sportti-/chillausreissulle Tallinnaan 🇪🇪 Aukkoja sivistyksessä paikattu mm. Fotografiskan, Lennu Sadamin ja Kumun verran, ja superia safkaa löytyi mm. Parrot Minibarista, Leibistä, Kajasta ja Hakusta.
emmakkari	2019-12-06 21:56:01	https://www.instagram.com/p/B5vzCmQBMF9	Mikä ilta. Mikä päivä. Mikä viikko. 💚🇫🇮 Tämä mennyt viikko on ollut niin raskas, etten ole ehtinyt laittamaan teille juhliin valmistautumiskuvia. Sellaista kun ei ole tehty. 💚🇫🇮 Samalla, kun olemme venyneet äärimmillemme puolustaessamme niitä asioita, joita me pidämme tärkeinä, minulla on kirkastunut se, kuinka etuoikeutettu olen. 💚🇫🇮 Saan asu tässä kauniissa maassa ja puolustaa ihmisoikeuksia uskomattomien ihmisten kanssa. Väsymyksen keskeltäkin olen sanattoman kiitollinen kaikesta tästä. 💚🇫🇮 Meillä on jotain, mitä puolustaa. Siitä on syytä olla ylpeä. Ja tänään me juhlimme sitä ystävien kanssa. #linnanjuhlat #linnanjuhlat2019 #itsenäisyyspäivä (Asu: @annemaripahkala, meikki & hiukset: @katipuustinen, korut: @loviacollection.)
emmakkari	2019-05-27 11:24:35	https://www.instagram.com/p/Bx9tW9ShR_N	Auta ystävä! Pitkään hyvin palvelleet Hai-saappaat antoivat eilen torilla kaikkensa ja siirtyivät yöllä onnellisina ajasta iäisyyteen. 💚 Uusi vaihe alkaa. Kannattaako mun sun mielestä kulkea siinä omenanvihreissä (1), metsänvihreissä (2) vai merenvihreissä (3) saappaissa?
okivekas	2019-12-07 09:57:41	https://www.instagram.com/p/B5xFoUEhl5H	Olen aina ollut tiukka demokratian kannattaja. Tasavallan, jos valtiomuotoina ajatellaan. Uskon tasa-arvoon ja ihmisten välisiin suhteisiin joita ei kahlita hierarkioihin.  Kuitenkin, jokin vallan ja loiston estetiikassa, monarkian ulkoisissa merkeissä ihmisiin vetoaa. Itsestänikin tämän vähän yllättäen pystyn löytämään.  Siksi on hyvä, että 100-vuotias presidentti-instituutio on meillä rakennettu antamaan väylän ihmisten monarkiankaipuulle tasavallan puitteissa.  Ja pakko myöntää, että oli todella hauskaa miettiä rakkaan @anna.kivekas kanssa yhteensopivia pukuja, selvitellä kättelyn oikeaa protokollaa ja kävellä punaista mattoa itsenäisen Suomen näyttävimpään juhlaan, upeiden pukujen ja kattokruunujen loistoon.  Mun frakki on vanha 40-luvun frakki, jota @kinnunem on hiukan tuunannut nykypäivään (sellaiseksi kuin juhlapuvut saisivat olla). Annan upea mekko on @hoochiemamajane löytämä vintagepuku 60-luvulta. Molemmissa kultakirjailut juhlan kunniaksi.  Näillä puhein, hyvää itsenäisyyspäivää kaikille näin hiukan jälkikäteen!
mariaohisalo	2020-07-29 20:53:28	https://www.instagram.com/p/CDPXe7qB9qZ	Ilta ravintolassa - kesästadi tarjoilee mahtavia makuja. Voimme pitää yhteiskuntaa auki, kun muistamme turvavälit, käsidesit ja että flunssaoireisena mennään #korona-testiin ja kipeänä pysytään kotona jne. #kesästadi #Vallila #BonaFideHki
satusilvo	2019-09-07 06:01:23	https://www.instagram.com/p/B2GWP9bhAZw	@nikinewd - Suomessa tehdään  maailman parasta @tuorekosmetiikkaa Olen aikoinaan hoitanut terveyttäni kuntoon @elävälläravinnolla - @raakaravinnolla @tuoreruoalla nyt olen ihan koukussa @OatMealSoap- kaurasaippuaan - mikään muu ei pese/hoida  @rosacea ihoani pehmeämmin Kiitos Niki Newd 💚
villejalovaara	2020-05-22 09:30:28	https://www.instagram.com/p/CAfDRDiDUpQ	Olipa maukas take away lounas! Suosittelen!
villejalovaara	2020-04-25 12:07:57	https://www.instagram.com/p/B_Zz06gDt9d	Poikkesin ohikulkiessa #Alppila perinteikkään kenkäkaupan pelastustalkoisiin ja löysin hyvän parin edulliseen hintaan. Ystävällinen palvelu! Suosittelen!
johannalaisaari	2020-05-24 12:39:07	https://www.instagram.com/p/CAkicezBVWg	Tämän kevään ihanin ”teeuutuus” on löytynyt, Green Bellini Demmers Teehausilta. Aivan huumaava tuoksu ja kevyt viehkeä maku. Suosittelen.♥️#tealovers #greenbellini #demmersteehaus #kevät #spring
johannalaisaari	2020-05-06 19:25:28	https://www.instagram.com/p/B_26o7RDNrL	Vaaleanpunasävyinen juoru viihtyy ikkunalaudalla loistavasti. Ostettu oman kylän liikkeestä, suosittelen. @dina_putiikki 🌸 #juoru #kukka #kevät #putiikki #kyläkauppa #kaunistaläheltä
johannalaisaari	2020-01-21 18:25:47	https://www.instagram.com/p/B7l3jFDBKf1	Löytäjä @olkkarishop ista. Suosittelen. Laadukasta ja kaunista. #arkeajajuhlaa #mulberry #vintage #secondhand
johannalaisaari	2019-11-07 18:16:05	https://www.instagram.com/p/B4ku0auB2m8	#pikkuhukka aivan ihanaa sellerikeittoa! Suosittelen. #lehtikaalia #selleriä #sellerikeitto #herttoniemi #helsinki
pilvitorsti	2020-04-12 06:33:15	https://www.instagram.com/p/B-3vMFND_1V	Hyvää pääsiäisen jatkoa ihmiset, voikaa hyvin & pyytäkää apua, jos sille tarvetta❤️💛 Meidän kuvissa: -A halusi päästä #kaikkikotonalive-ohjelman kuvaseinälle, joten lähetimme sinne virallisen pääsiäiskuvan. Jos joku on nähnyt sen perjantaina telkkarissa niin kertokaa! -”Ja me löydämme Uudenmaan” -retket Samulin korona-ajan ihana erikoisuus. Eilen ToSi-eristysretki nro 4, kohteena Emäsalo ja siellä  all I love -tunnelma: meri, kalliot ja rakkaat. -maalaamani hymiömuna on ehkä hienoin, mitä koskaan olen maalannut. En myöskään ennen tätä kotipääsiäistä tiennyt, että munien puhaltaminen tyhjäksi on suht helppoa -#supportyourlocal pyörii monessa pikkuravintolassa pääsiäisen yli. Kaikki, joille se on mahdollista tuetaan näitä yrittäjiä. Esimerkiksi meidän korttelin BAR TEOS tuo tapakset iltaisin kotiovelle. Kun ne jaksaa siirrellä ja asetella lautaselle, saa upean koti-illallisen.
